power_output_kw,hour,day_of_week,duration_mins
60.0,15,5,39.0
50.0,9,6,55.0
50.0,14,6,38.0
22.0,12,6,73.0
60.0,15,6,27.0
50.0,6,6,38.0
60.0,1,6,25.0
50.0,4,6,15.0
30.0,12,6,15.0
50.0,6,6,15.0
50.0,21,5,18.0
50.0,23,5,15.0
50.0,0,6,20.0
15.0,3,6,175.0
50.0,5,6,15.0
50.0,20,5,51.0
50.0,11,6,17.0
50.0,15,6,48.0
50.0,6,6,15.0
15.0,10,6,15.0
150.0,12,6,22.0
150.0,13,6,15.0
15.0,6,6,128.0
11.0,15,6,140.0
30.0,6,6,15.0
60.0,4,6,15.0
7.2,14,6,210.0
22.0,7,6,76.0
120.0,6,6,15.0
50.0,10,6,30.0
30.0,23,5,15.0
50.0,13,6,15.0
120.0,6,6,15.0
60.0,3,6,18.0
50.0,7,6,15.0
150.0,13,6,15.0
50.0,15,6,15.0
11.0,4,6,238.0
11.0,14,6,15.0
22.0,23,5,15.0
60.0,6,6,43.0
150.0,4,6,15.0
30.0,19,5,15.0
50.0,5,6,15.0
50.0,19,5,73.0
50.0,2,6,34.0
50.0,15,6,24.0
11.0,16,6,15.0
50.0,19,5,16.0
50.0,15,6,17.0
50.0,3,6,38.0
60.0,14,6,27.0
60.0,11,6,21.0
50.0,11,6,15.0
11.0,8,6,163.0
11.0,11,6,139.0
60.0,11,6,42.0
7.2,20,5,19.0
50.0,11,6,36.0
11.0,14,6,150.0
15.0,22,5,103.0
50.0,5,6,15.0
50.0,11,6,15.0
50.0,22,5,15.0
7.2,14,6,17.0
65.0,6,6,15.0
11.0,11,6,15.0
60.0,3,6,26.0
60.0,9,6,50.0
15.0,13,6,15.0
50.0,19,5,17.0
22.0,15,6,15.0
15.0,5,6,15.0
60.0,14,6,33.0
30.0,8,6,90.0
150.0,10,6,15.0
150.0,18,6,15.0
50.0,13,6,44.0
15.0,12,6,197.0
50.0,5,6,52.0
11.0,15,6,86.0
150.0,7,6,15.0
11.0,6,6,86.0
30.0,14,6,54.0
7.2,6,6,19.0
120.0,15,6,15.0
60.0,18,5,45.0
120.0,15,6,15.0
150.0,14,6,15.0
7.2,7,6,237.0
60.0,4,6,30.0
60.0,23,5,22.0
30.0,12,6,74.0
50.0,1,6,15.0
150.0,10,6,15.0
50.0,11,6,33.0
11.0,12,6,143.0
50.0,18,5,15.0
11.0,14,6,208.0
60.0,4,6,15.0
15.0,13,6,15.0
150.0,5,6,15.0
60.0,6,6,21.0
50.0,4,6,15.0
15.0,5,6,103.0
15.0,21,5,94.0
30.0,11,6,78.0
60.0,11,6,41.0
50.0,11,6,37.0
50.0,9,6,15.0
50.0,4,6,15.0
7.2,13,6,360.0
11.0,7,6,219.0
50.0,14,6,15.0
50.0,14,0,15.0
11.0,14,0,213.0
30.0,6,0,105.0
50.0,19,6,31.0
150.0,16,0,15.0
60.0,22,6,15.0
30.0,12,0,57.0
30.0,1,0,15.0
50.0,10,0,19.0
50.0,7,0,15.0
50.0,4,0,30.0
50.0,19,6,15.0
60.0,23,6,15.0
30.0,6,0,15.0
22.0,14,0,66.0
50.0,19,6,22.0
11.0,14,0,16.0
50.0,15,0,36.0
50.0,15,0,15.0
15.0,14,0,15.0
22.0,19,6,51.0
60.0,15,0,30.0
150.0,9,0,15.0
50.0,6,0,26.0
50.0,1,0,15.0
15.0,13,0,163.0
50.0,5,0,15.0
60.0,19,6,33.0
60.0,14,0,45.0
60.0,12,0,36.0
50.0,5,0,30.0
60.0,7,0,24.0
15.0,5,0,15.0
30.0,4,0,15.0
30.0,18,6,15.0
150.0,19,6,15.0
7.2,6,0,309.0
22.0,2,0,15.0
50.0,10,0,15.0
22.0,11,0,15.0
11.0,0,0,15.0
15.0,2,0,150.0
60.0,13,0,15.0
50.0,1,0,33.0
7.2,8,0,21.0
15.0,1,0,68.0
30.0,9,0,15.0
11.0,2,0,286.0
50.0,19,6,27.0
50.0,13,0,29.0
50.0,4,0,23.0
30.0,20,6,15.0
50.0,4,0,15.0
50.0,4,0,15.0
22.0,14,0,15.0
22.0,6,0,15.0
15.0,13,0,15.0
60.0,12,0,45.0
22.0,3,0,91.0
15.0,12,0,15.0
50.0,22,6,15.0
50.0,6,0,30.0
50.0,6,0,15.0
120.0,4,0,15.0
22.0,13,0,71.0
50.0,7,0,15.0
150.0,4,0,15.0
50.0,13,0,32.0
50.0,4,0,15.0
60.0,4,0,36.0
50.0,4,0,25.0
120.0,13,0,18.0
30.0,14,0,55.0
50.0,3,0,48.0
15.0,18,0,94.0
50.0,6,0,20.0
30.0,11,0,85.0
120.0,20,6,22.0
50.0,0,0,47.0
30.0,4,0,77.0
22.0,3,0,15.0
7.2,3,0,16.0
50.0,0,0,20.0
120.0,4,0,15.0
50.0,6,0,33.0
50.0,21,6,15.0
22.0,4,0,15.0
50.0,16,0,19.0
50.0,12,0,15.0
150.0,6,0,15.0
50.0,5,0,60.0
50.0,18,6,60.0
60.0,21,6,15.0
15.0,17,0,104.0
50.0,6,0,15.0
50.0,3,0,73.0
50.0,3,0,33.0
60.0,3,0,33.0
50.0,15,0,15.0
22.0,13,0,15.0
22.0,12,0,100.0
150.0,10,0,15.0
50.0,10,0,36.0
50.0,6,0,33.0
50.0,6,0,15.0
50.0,13,0,37.0
15.0,4,0,192.0
50.0,7,0,15.0
50.0,22,6,15.0
50.0,23,6,15.0
15.0,13,0,15.0
30.0,15,0,65.0
50.0,10,0,15.0
50.0,10,0,38.0
30.0,5,0,15.0
50.0,16,0,15.0
50.0,6,0,15.0
50.0,22,6,29.0
50.0,5,0,15.0
15.0,13,1,153.0
120.0,7,1,15.0
120.0,12,1,15.0
11.0,14,1,206.0
60.0,7,1,15.0
50.0,14,1,15.0
50.0,5,1,19.0
50.0,6,1,53.0
22.0,0,1,110.0
60.0,6,1,15.0
50.0,22,0,15.0
50.0,4,1,44.0
22.0,15,1,15.0
50.0,7,1,32.0
50.0,18,1,28.0
50.0,17,1,15.0
11.0,6,1,200.0
7.2,14,1,23.0
11.0,15,1,15.0
11.0,15,1,187.0
120.0,14,1,15.0
11.0,12,1,15.0
50.0,6,1,60.0
30.0,7,1,51.0
22.0,13,1,103.0
22.0,11,1,89.0
150.0,5,1,15.0
50.0,14,1,36.0
120.0,6,1,28.0
50.0,17,1,15.0
150.0,11,1,15.0
150.0,18,0,15.0
22.0,3,1,15.0
30.0,9,1,68.0
50.0,12,1,15.0
50.0,20,0,61.0
11.0,12,1,328.0
50.0,11,1,15.0
30.0,17,1,82.0
150.0,12,1,15.0
11.0,4,1,73.0
120.0,8,1,15.0
50.0,16,1,15.0
50.0,19,0,15.0
60.0,12,1,15.0
7.2,8,1,21.0
150.0,6,1,15.0
30.0,14,1,15.0
65.0,13,1,44.0
50.0,9,1,15.0
60.0,4,1,32.0
60.0,14,1,15.0
50.0,16,1,41.0
22.0,10,1,89.0
50.0,12,1,35.0
50.0,13,1,15.0
22.0,9,1,72.0
11.0,15,1,15.0
22.0,6,1,15.0
50.0,12,1,15.0
50.0,3,1,15.0
60.0,6,1,38.0
22.0,5,1,107.0
50.0,15,1,47.0
11.0,10,1,15.0
50.0,15,1,29.0
60.0,7,1,20.0
15.0,11,1,97.0
30.0,14,1,86.0
30.0,1,1,45.0
50.0,4,1,45.0
7.2,6,1,320.0
11.0,6,1,15.0
50.0,11,1,21.0
50.0,12,1,56.0
50.0,14,1,15.0
30.0,22,0,62.0
50.0,9,1,56.0
30.0,13,1,112.0
50.0,7,1,15.0
60.0,22,0,15.0
15.0,19,0,15.0
50.0,17,1,15.0
60.0,14,1,15.0
7.2,12,1,344.0
50.0,11,1,15.0
50.0,20,0,15.0
50.0,7,1,47.0
50.0,12,1,22.0
50.0,13,1,15.0
60.0,12,1,15.0
150.0,12,1,15.0
50.0,21,0,15.0
15.0,5,1,15.0
15.0,7,1,15.0
150.0,12,1,15.0
120.0,4,1,15.0
50.0,5,1,15.0
60.0,12,1,15.0
11.0,5,1,266.0
15.0,13,1,15.0
11.0,11,1,84.0
15.0,7,1,15.0
50.0,13,1,27.0
15.0,13,2,224.0
30.0,16,2,84.0
50.0,12,2,34.0
7.2,13,2,184.0
11.0,6,2,15.0
50.0,5,2,15.0
120.0,15,2,15.0
50.0,3,2,15.0
11.0,3,2,15.0
60.0,3,2,58.0
50.0,11,2,49.0
50.0,7,2,42.0
15.0,1,2,124.0
50.0,2,2,41.0
50.0,9,2,15.0
7.2,0,2,120.0
50.0,5,2,15.0
22.0,12,2,95.0
30.0,5,2,15.0
50.0,17,2,59.0
15.0,14,2,110.0
50.0,11,2,15.0
22.0,22,1,82.0
50.0,13,2,15.0
60.0,15,2,15.0
120.0,7,2,24.0
30.0,4,2,15.0
7.2,14,2,20.0
60.0,5,2,42.0
50.0,12,2,15.0
11.0,17,2,15.0
15.0,4,2,55.0
50.0,4,2,15.0
60.0,12,2,38.0
50.0,10,2,28.0
50.0,12,2,30.0
50.0,13,2,69.0
50.0,1,2,15.0
22.0,15,2,15.0
50.0,9,2,49.0
30.0,2,2,88.0
50.0,6,2,27.0
11.0,14,2,15.0
60.0,14,2,15.0
60.0,15,2,15.0
150.0,14,2,15.0
15.0,3,2,114.0
22.0,15,2,15.0
50.0,12,2,41.0
50.0,15,2,15.0
7.2,13,2,257.0
15.0,19,1,60.0
30.0,3,2,66.0
50.0,14,2,15.0
50.0,5,2,15.0
30.0,4,2,15.0
30.0,5,2,47.0
50.0,11,2,15.0
60.0,3,2,26.0
50.0,7,2,33.0
22.0,5,2,34.0
50.0,2,2,51.0
50.0,7,2,15.0
120.0,3,2,15.0
50.0,21,1,15.0
50.0,4,2,15.0
50.0,3,2,15.0
22.0,14,2,85.0
50.0,14,2,31.0
11.0,6,2,15.0
65.0,4,2,15.0
30.0,4,2,15.0
150.0,12,2,15.0
120.0,7,2,15.0
50.0,5,2,54.0
60.0,13,2,35.0
50.0,3,2,15.0
50.0,11,2,29.0
120.0,13,2,15.0
11.0,20,1,135.0
50.0,12,2,45.0
50.0,5,2,53.0
150.0,5,2,15.0
50.0,22,1,55.0
50.0,12,2,27.0
50.0,16,2,26.0
50.0,22,1,29.0
50.0,12,2,18.0
50.0,7,2,26.0
7.2,6,2,17.0
7.2,12,2,25.0
150.0,4,2,15.0
50.0,4,2,15.0
22.0,5,2,54.0
60.0,3,2,28.0
60.0,12,2,15.0
120.0,11,2,19.0
15.0,3,2,15.0
50.0,3,2,15.0
7.2,12,2,264.0
30.0,14,2,15.0
15.0,5,2,92.0
50.0,13,2,15.0
30.0,12,2,54.0
150.0,7,2,20.0
50.0,15,2,37.0
150.0,6,2,15.0
15.0,21,1,82.0
150.0,5,2,15.0
15.0,19,1,155.0
7.2,6,2,17.0
22.0,12,2,45.0
30.0,6,2,82.0
60.0,3,2,24.0
120.0,11,2,25.0
7.2,7,2,20.0
7.2,6,2,319.0
50.0,11,3,15.0
60.0,12,3,15.0
50.0,18,2,15.0
50.0,11,3,30.0
15.0,7,3,110.0
15.0,13,3,130.0
50.0,11,3,70.0
50.0,5,3,15.0
30.0,7,3,15.0
60.0,16,3,15.0
50.0,11,3,27.0
30.0,4,3,15.0
120.0,18,3,23.0
150.0,7,3,15.0
50.0,14,3,54.0
22.0,4,3,15.0
50.0,19,2,18.0
150.0,16,3,15.0
22.0,12,3,57.0
30.0,7,3,78.0
30.0,7,3,15.0
7.2,14,3,19.0
50.0,12,3,25.0
50.0,22,2,19.0
60.0,4,3,15.0
60.0,1,3,24.0
7.2,1,3,18.0
50.0,12,3,15.0
50.0,21,2,33.0
11.0,8,3,15.0
50.0,4,3,34.0
150.0,7,3,15.0
11.0,6,3,189.0
50.0,14,3,63.0
11.0,7,3,15.0
50.0,7,3,31.0
60.0,7,3,15.0
30.0,12,3,15.0
50.0,15,3,16.0
50.0,3,3,25.0
120.0,12,3,16.0
50.0,8,3,28.0
50.0,3,3,29.0
60.0,4,3,15.0
60.0,12,3,15.0
50.0,3,3,15.0
22.0,5,3,55.0
120.0,11,3,17.0
50.0,7,3,15.0
15.0,12,3,63.0
11.0,7,3,140.0
50.0,13,3,15.0
60.0,4,3,16.0
30.0,12,3,57.0
60.0,6,3,15.0
120.0,6,3,15.0
65.0,14,3,26.0
50.0,5,3,15.0
60.0,12,3,15.0
15.0,0,3,15.0
50.0,4,3,23.0
22.0,9,3,78.0
11.0,10,3,233.0
50.0,14,3,41.0
50.0,7,3,69.0
150.0,6,3,15.0
7.2,4,3,206.0
50.0,14,3,15.0
11.0,13,3,15.0
15.0,9,3,15.0
50.0,11,3,32.0
30.0,19,2,15.0
150.0,10,3,15.0
50.0,4,3,15.0
50.0,17,3,42.0
11.0,11,3,160.0
50.0,1,3,15.0
22.0,7,3,148.0
30.0,11,3,46.0
30.0,5,3,59.0
50.0,0,3,51.0
50.0,6,3,62.0
120.0,0,3,21.0
50.0,15,3,43.0
50.0,11,3,15.0
30.0,13,3,90.0
15.0,12,3,15.0
60.0,14,3,15.0
7.2,12,3,305.0
120.0,12,3,15.0
120.0,5,3,15.0
50.0,4,3,57.0
60.0,7,3,15.0
120.0,4,3,15.0
22.0,19,2,15.0
50.0,11,3,51.0
22.0,4,3,75.0
11.0,13,3,301.0
50.0,19,2,31.0
60.0,5,3,15.0
60.0,10,3,15.0
50.0,6,3,30.0
60.0,4,3,25.0
65.0,4,3,15.0
15.0,7,3,15.0
50.0,8,3,30.0
15.0,12,3,15.0
50.0,10,3,15.0
50.0,12,3,15.0
120.0,12,3,19.0
60.0,4,3,37.0
120.0,13,3,15.0
30.0,14,3,15.0
30.0,3,3,30.0
50.0,15,3,52.0
11.0,14,3,15.0
50.0,15,3,15.0
50.0,14,3,15.0
50.0,13,3,35.0
50.0,2,3,15.0
11.0,15,3,157.0
50.0,11,3,31.0
7.2,15,3,334.0
50.0,12,3,46.0
150.0,15,3,18.0
60.0,23,2,32.0
50.0,3,3,45.0
50.0,0,3,15.0
30.0,13,3,45.0
50.0,6,4,33.0
22.0,14,4,128.0
120.0,12,4,15.0
120.0,12,4,15.0
50.0,3,4,31.0
50.0,6,4,31.0
30.0,14,4,46.0
60.0,15,4,15.0
150.0,6,4,15.0
50.0,6,4,48.0
60.0,4,4,41.0
50.0,5,4,63.0
22.0,9,4,93.0
50.0,7,4,15.0
7.2,6,4,116.0
60.0,13,4,28.0
50.0,19,3,44.0
50.0,6,4,15.0
7.2,15,4,21.0
50.0,12,4,15.0
50.0,15,4,15.0
30.0,15,4,15.0
50.0,6,4,15.0
150.0,15,4,15.0
50.0,14,4,15.0
50.0,0,4,15.0
50.0,10,4,44.0
50.0,14,4,23.0
50.0,14,4,24.0
50.0,12,4,30.0
11.0,4,4,247.0
30.0,5,4,15.0
120.0,15,4,26.0
30.0,8,4,15.0
7.2,22,3,200.0
50.0,14,4,46.0
60.0,16,4,26.0
30.0,11,4,15.0
7.2,4,4,259.0
7.2,13,4,351.0
7.2,4,4,16.0
50.0,20,3,38.0
11.0,18,4,15.0
50.0,1,4,15.0
60.0,5,4,19.0
50.0,7,4,15.0
150.0,5,4,15.0
50.0,8,4,15.0
30.0,5,4,58.0
120.0,4,4,22.0
50.0,12,4,15.0
11.0,9,4,15.0
120.0,15,4,15.0
30.0,23,3,60.0
120.0,6,4,15.0
7.2,12,4,211.0
50.0,13,4,15.0
30.0,16,4,38.0
150.0,6,4,21.0
65.0,13,4,41.0
11.0,6,4,120.0
50.0,13,4,15.0
11.0,2,4,15.0
30.0,3,4,15.0
150.0,8,4,17.0
30.0,12,4,80.0
50.0,14,4,15.0
60.0,6,4,26.0
150.0,13,4,15.0
50.0,23,3,24.0
50.0,4,4,29.0
150.0,13,4,15.0
22.0,8,4,15.0
50.0,3,4,48.0
120.0,6,4,21.0
11.0,4,4,15.0
15.0,15,4,15.0
30.0,6,4,60.0
60.0,10,4,15.0
50.0,14,4,49.0
50.0,2,4,45.0
120.0,15,4,15.0
50.0,4,4,48.0
11.0,10,4,16.0
120.0,5,4,28.0
50.0,13,4,15.0
30.0,4,4,49.0
60.0,16,4,29.0
50.0,4,4,53.0
11.0,21,3,15.0
65.0,11,4,27.0
150.0,12,4,19.0
22.0,3,4,32.0
30.0,6,4,15.0
50.0,14,4,50.0
30.0,4,4,54.0
22.0,15,4,75.0
50.0,6,4,15.0
50.0,12,4,15.0
50.0,12,4,15.0
15.0,13,4,187.0
120.0,0,4,15.0
22.0,13,4,134.0
30.0,12,4,97.0
50.0,9,4,56.0
50.0,5,4,32.0
30.0,9,4,74.0
50.0,2,4,15.0
120.0,6,4,15.0
15.0,10,4,116.0
150.0,11,4,15.0
150.0,16,4,15.0
50.0,14,4,15.0
30.0,11,4,41.0
60.0,4,5,15.0
120.0,19,4,15.0
50.0,11,5,17.0
60.0,4,5,32.0
50.0,12,5,15.0
50.0,4,5,51.0
7.2,7,5,358.0
22.0,0,5,15.0
30.0,13,5,15.0
15.0,11,5,99.0
22.0,0,5,73.0
60.0,5,5,44.0
22.0,0,5,105.0
50.0,5,5,15.0
120.0,3,5,15.0
22.0,15,5,15.0
120.0,13,5,15.0
50.0,15,5,33.0
30.0,15,5,15.0
150.0,15,5,15.0
150.0,13,5,15.0
50.0,12,5,15.0
30.0,7,5,47.0
15.0,12,5,175.0
50.0,15,5,15.0
50.0,17,5,62.0
50.0,14,5,55.0
60.0,4,5,52.0
50.0,5,5,54.0
50.0,13,5,15.0
60.0,17,5,15.0
150.0,4,5,15.0
60.0,8,5,15.0
50.0,8,5,66.0
120.0,5,5,15.0
7.2,6,5,17.0
60.0,23,4,27.0
60.0,15,5,17.0
11.0,14,5,183.0
50.0,13,5,15.0
30.0,11,5,48.0
50.0,14,5,29.0
7.2,4,5,243.0
60.0,22,4,15.0
22.0,11,5,80.0
50.0,19,4,15.0
50.0,6,5,32.0
120.0,6,5,15.0
50.0,15,5,50.0
15.0,14,5,15.0
50.0,23,4,15.0
50.0,4,5,24.0
50.0,8,5,36.0
50.0,14,5,32.0
50.0,4,5,60.0
15.0,6,5,15.0
50.0,18,5,56.0
22.0,13,5,153.0
50.0,5,5,37.0
50.0,5,5,15.0
30.0,0,5,70.0
120.0,11,5,15.0
120.0,6,5,15.0
22.0,20,4,94.0
50.0,8,5,15.0
50.0,11,5,45.0
30.0,4,5,68.0
50.0,7,5,36.0
22.0,12,5,71.0
50.0,13,5,15.0
60.0,11,5,42.0
50.0,15,5,15.0
50.0,6,5,15.0
120.0,15,5,15.0
150.0,8,5,15.0
50.0,4,5,25.0
60.0,14,5,15.0
60.0,10,5,19.0
50.0,12,5,37.0
30.0,12,5,15.0
7.2,16,5,23.0
150.0,13,5,15.0
7.2,4,5,169.0
120.0,4,5,19.0
50.0,13,5,15.0
120.0,5,5,15.0
15.0,11,5,145.0
50.0,4,5,32.0
30.0,3,5,15.0
50.0,12,5,15.0
50.0,11,5,49.0
50.0,14,5,44.0
50.0,4,5,15.0
50.0,1,5,35.0
30.0,5,5,45.0
50.0,4,5,51.0
50.0,7,5,23.0
120.0,23,4,15.0
50.0,13,5,15.0
50.0,3,5,44.0
50.0,16,5,20.0
50.0,17,5,45.0
30.0,2,5,41.0
60.0,14,5,15.0
7.2,16,5,360.0
50.0,19,4,24.0
50.0,4,5,37.0
60.0,11,5,15.0
11.0,6,5,244.0
60.0,17,5,46.0
50.0,12,5,15.0
50.0,4,5,15.0
150.0,19,4,19.0
120.0,5,5,15.0
30.0,6,5,15.0
11.0,6,5,15.0
50.0,6,5,15.0
22.0,0,5,15.0
50.0,14,5,15.0
7.2,2,5,197.0
30.0,4,5,84.0
30.0,5,5,15.0
120.0,5,5,15.0
50.0,12,6,15.0
50.0,11,6,37.0
50.0,18,5,15.0
60.0,12,6,15.0
150.0,10,6,15.0
30.0,15,6,15.0
50.0,7,6,15.0
150.0,14,6,15.0
120.0,23,5,19.0
15.0,8,6,98.0
22.0,16,6,143.0
7.2,14,6,327.0
120.0,15,6,15.0
50.0,9,6,30.0
60.0,12,6,32.0
30.0,6,6,15.0
30.0,11,6,15.0
120.0,13,6,15.0
50.0,12,6,15.0
50.0,19,5,32.0
150.0,7,6,15.0
50.0,12,6,45.0
7.2,2,6,20.0
11.0,13,6,174.0
150.0,6,6,15.0
30.0,11,6,52.0
11.0,4,6,15.0
7.2,12,6,16.0
30.0,17,6,54.0
7.2,6,6,268.0
50.0,12,6,54.0
60.0,5,6,15.0
50.0,8,6,49.0
22.0,5,6,15.0
50.0,12,6,15.0
60.0,12,6,27.0
30.0,13,6,15.0
120.0,17,6,15.0
11.0,4,6,156.0
50.0,3,6,15.0
50.0,15,6,15.0
7.2,20,5,18.0
120.0,6,6,15.0
50.0,6,6,32.0
50.0,14,6,15.0
22.0,19,5,15.0
150.0,18,6,15.0
60.0,17,6,21.0
11.0,13,6,71.0
60.0,7,6,15.0
50.0,14,6,15.0
50.0,14,6,15.0
11.0,12,6,194.0
7.2,12,6,25.0
7.2,5,6,149.0
50.0,18,6,42.0
7.2,5,6,214.0
50.0,4,6,15.0
65.0,6,6,29.0
7.2,9,6,316.0
50.0,13,6,15.0
50.0,13,6,25.0
50.0,12,6,67.0
7.2,6,6,16.0
50.0,13,6,15.0
7.2,13,6,25.0
15.0,7,6,15.0
15.0,6,6,15.0
7.2,1,6,16.0
11.0,11,6,258.0
50.0,7,6,28.0
60.0,13,6,28.0
50.0,20,5,15.0
50.0,15,6,15.0
120.0,15,6,15.0
150.0,15,6,15.0
7.2,14,6,23.0
150.0,12,6,15.0
60.0,5,6,49.0
120.0,23,5,15.0
50.0,12,6,15.0
60.0,5,6,15.0
22.0,13,6,15.0
22.0,1,6,68.0
11.0,19,5,15.0
120.0,13,6,17.0
50.0,4,6,15.0
120.0,0,6,15.0
150.0,4,6,19.0
50.0,0,6,28.0
50.0,6,6,56.0
50.0,5,6,42.0
15.0,11,6,15.0
7.2,18,5,20.0
22.0,22,5,125.0
50.0,14,6,15.0
22.0,4,6,80.0
7.2,4,6,22.0
120.0,14,6,24.0
50.0,14,6,33.0
60.0,11,6,15.0
50.0,4,6,15.0
150.0,3,6,15.0
150.0,5,6,18.0
11.0,1,6,241.0
60.0,5,6,47.0
150.0,14,6,15.0
50.0,19,5,44.0
60.0,17,6,15.0
50.0,13,6,38.0
11.0,7,6,163.0
30.0,15,6,15.0
50.0,12,6,15.0
60.0,7,6,28.0
11.0,14,0,16.0
7.2,6,0,17.0
150.0,0,0,15.0
50.0,5,0,70.0
50.0,19,6,53.0
7.2,11,0,360.0
50.0,5,0,48.0
50.0,14,0,22.0
50.0,5,0,15.0
50.0,8,0,15.0
50.0,2,0,35.0
120.0,15,0,15.0
150.0,15,0,19.0
120.0,14,0,15.0
120.0,7,0,15.0
50.0,2,0,15.0
150.0,7,0,15.0
120.0,7,0,15.0
120.0,13,0,15.0
50.0,6,0,38.0
7.2,16,0,170.0
30.0,4,0,42.0
150.0,10,0,15.0
50.0,12,0,52.0
150.0,14,0,15.0
120.0,4,0,15.0
50.0,13,0,44.0
22.0,4,0,15.0
7.2,6,0,16.0
50.0,12,0,15.0
60.0,13,0,15.0
50.0,14,0,30.0
50.0,4,0,15.0
7.2,14,0,286.0
150.0,12,0,15.0
30.0,13,0,53.0
22.0,1,0,15.0
22.0,15,0,37.0
60.0,12,0,31.0
30.0,13,0,65.0
50.0,12,0,31.0
50.0,14,0,15.0
60.0,0,0,24.0
120.0,13,0,15.0
7.2,8,0,184.0
30.0,20,6,29.0
15.0,13,0,15.0
22.0,6,0,53.0
50.0,13,0,15.0
30.0,10,0,15.0
50.0,13,0,15.0
50.0,22,6,61.0
120.0,7,0,15.0
22.0,5,0,15.0
60.0,5,0,15.0
11.0,13,0,238.0
30.0,18,0,65.0
50.0,14,0,33.0
50.0,13,0,32.0
30.0,3,0,112.0
120.0,7,0,15.0
11.0,22,6,178.0
22.0,14,0,109.0
11.0,6,0,126.0
50.0,15,0,15.0
50.0,12,0,15.0
50.0,11,0,21.0
50.0,5,0,15.0
50.0,10,0,29.0
30.0,13,0,15.0
7.2,4,0,22.0
15.0,0,0,160.0
30.0,4,0,65.0
30.0,12,0,15.0
60.0,2,0,37.0
50.0,21,6,36.0
50.0,5,0,15.0
50.0,5,0,39.0
11.0,4,0,15.0
50.0,21,6,15.0
50.0,23,6,30.0
15.0,5,0,115.0
50.0,20,6,15.0
60.0,14,0,15.0
60.0,20,6,23.0
150.0,2,0,15.0
22.0,9,0,61.0
50.0,1,0,56.0
150.0,5,0,15.0
22.0,14,0,15.0
50.0,6,0,34.0
30.0,14,0,15.0
60.0,13,0,15.0
50.0,9,0,15.0
50.0,6,0,30.0
50.0,0,0,40.0
30.0,15,0,49.0
7.2,11,0,198.0
50.0,23,6,15.0
15.0,5,0,15.0
15.0,10,0,119.0
22.0,15,0,15.0
150.0,16,0,15.0
7.2,13,0,15.0
22.0,4,0,15.0
50.0,3,0,62.0
50.0,5,0,33.0
30.0,0,0,95.0
50.0,10,0,15.0
50.0,12,0,19.0
50.0,6,0,55.0
50.0,4,0,37.0
50.0,15,0,48.0
50.0,11,0,15.0
60.0,5,0,15.0
11.0,12,0,149.0
120.0,4,0,15.0
120.0,13,0,15.0
60.0,15,0,15.0
120.0,7,0,28.0
50.0,13,0,15.0
50.0,11,0,54.0
11.0,15,0,134.0
150.0,4,0,15.0
30.0,15,0,56.0
50.0,17,0,15.0
50.0,13,0,59.0
120.0,4,1,15.0
50.0,15,1,21.0
30.0,2,1,15.0
50.0,1,1,15.0
120.0,13,1,15.0
7.2,5,1,168.0
22.0,14,1,15.0
50.0,4,1,31.0
30.0,12,1,34.0
60.0,13,1,15.0
60.0,21,0,36.0
15.0,6,1,157.0
150.0,11,1,16.0
50.0,17,1,15.0
11.0,4,1,15.0
150.0,12,1,15.0
150.0,13,1,15.0
120.0,4,1,15.0
30.0,6,1,61.0
30.0,13,1,101.0
60.0,5,1,49.0
60.0,7,1,15.0
22.0,14,1,83.0
50.0,13,1,55.0
65.0,15,1,15.0
7.2,9,1,17.0
50.0,1,1,34.0
50.0,2,1,32.0
50.0,7,1,39.0
60.0,6,1,15.0
50.0,14,1,52.0
50.0,9,1,15.0
50.0,12,1,47.0
150.0,16,1,15.0
7.2,7,1,22.0
22.0,4,1,108.0
50.0,15,1,29.0
30.0,14,1,46.0
50.0,12,1,42.0
150.0,1,1,15.0
7.2,2,1,18.0
22.0,12,1,64.0
60.0,6,1,30.0
50.0,12,1,64.0
50.0,11,1,15.0
22.0,5,1,74.0
120.0,12,1,15.0
11.0,11,1,15.0
50.0,19,0,44.0
50.0,5,1,33.0
50.0,12,1,15.0
30.0,7,1,78.0
30.0,5,1,15.0
50.0,12,1,15.0
22.0,14,1,120.0
7.2,8,1,135.0
120.0,12,1,15.0
50.0,13,1,15.0
50.0,21,0,58.0
22.0,13,1,98.0
60.0,21,0,15.0
11.0,4,1,207.0
50.0,23,0,35.0
50.0,22,0,37.0
7.2,15,1,15.0
50.0,21,0,15.0
150.0,15,1,15.0
120.0,6,1,15.0
50.0,13,1,15.0
150.0,21,0,15.0
50.0,13,1,15.0
50.0,22,0,24.0
50.0,13,1,15.0
60.0,13,1,31.0
30.0,4,1,100.0
60.0,5,1,15.0
50.0,10,1,15.0
60.0,13,1,46.0
7.2,5,1,24.0
60.0,4,1,15.0
15.0,12,1,208.0
50.0,18,1,15.0
60.0,5,1,22.0
50.0,5,1,28.0
15.0,17,1,219.0
22.0,0,1,67.0
7.2,11,1,354.0
50.0,4,1,15.0
11.0,19,0,15.0
150.0,13,1,15.0
150.0,4,1,21.0
30.0,12,1,15.0
50.0,10,1,15.0
50.0,3,1,57.0
120.0,13,1,17.0
65.0,13,1,15.0
150.0,20,0,15.0
30.0,13,1,15.0
150.0,13,1,15.0
50.0,21,0,15.0
30.0,14,1,15.0
50.0,6,1,36.0
15.0,5,1,15.0
